,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1986,"12069,5",12314,"12920,9","12254,1","12478,1","12610,6","12517,3","12895,6","13124,8","13582,8","15428,7","17306,5"
1987,"15322,983","15341,779","15513,676","15043,6","15028,931","14823,058","14670,19","14280,202","14476,634","15015,882","17075,922","19469,415"
1988,"16504,983","16786,615","17359,338","17259,348","17387,21","17313,557","17259,822","17315,007","17707,226","18295,089","21742,6","24734,029956"
1989,"21500,983507","21738,516696","21582,081368","21347,730729","21001,624374","20290,138294","20415,208756","20291,245121","20846,308672","21675,718613","24656,923","27976,62"
1990,"23969,167","23844,95","24180,789","24071,707","23825,141","23822,866","24181,098","23981,523","24400,47","25105,05","29159,062","33889,208794"
1991,"28637,891878","28603,131967","28908,895335","28700,007179","28452,569862","28280,81258","29364,827471","29674,046504","30126,79408","31190,750735","36961,548442","42478,238032"
1992,"36695,389003","36650,303866","37273,340907","38052,934207","38499,978635","38977,569021","40043,717295","40600,366183","41494,934322","44895,876291","48857,084148","56933,749031"
1993,"48362,985829","48967,625006","49065,299721","49423,500331","49833,156","49450,124","49999,868","49165,219","47172,428","51272,08","58087,84","63996,556"
1994,"57719,367","58760,996","60201,564","59638,743","59260,808","59526,851","60869,389","60825,693","62967,59","65141,476","73636,183","86012,929"
1995,"72177,572","72686,207","72616,034","71277,053","69489,936","70155,479","70298,997","68965,44","70212,158","72522,103","86577,9","98930,908"
1996,"81132,074","81512,235","83267,189","82777,626","82540,799","82439,686","85289,24","83992,747","84678,217","88207,568","105266,508","115765,646"
1997,"98622,474","97738,967","99384,571","97520,048","96311,208","96227,222","98406,516","99123,036","100953,195","105712,457","125928,87","146843,71871285"
1998,"125409,38271385","121529,68368435","120642,83656185","121915,70975285","119968,99234715","118005,13466815","118427,83018815","117369,96538765","117919,80712615","120875,3278649","142234,2891359","165349,1798799"
1999,"138982,8636769","136793,1048224","141392,5649144","134807,3834309","133678,4797749","132740,2569544","135376,008398","133731,745824","136169,180073","139411,9797795","165569,703438","229813,11888325"
2000,"167304,74354125","155365,537269","154550,8991611","155828,1837041","149837,54269635","155762,28892085","156258,39947235","151877,68521635","154635,99003535","156823,41608235","179271,54843435","202710,73610035"
2001,"174065,02263435","171541,54174575","171285,11005875","169736,18693775","168303,93811775","170416,95614375","172693,71119975","169178,39650775","173413,72307775","172798,20107275","201051,98374205","223034,91264905"
2002,"193874,4569847","188195,581027","198909,8075825","187380,3861815","185362,870265","185249,5900605","187808,6974745","185126,4275165","187451,4639645","186738,9348315","214077,4338575","249870,216583"
2003,"209343,1535465","200158,9442745","200553,0577715","202462,378094","196141,2295775","196385,647593","194837,2940885","193156,0939237","195058,8377242","201388,4758642","231340,17553075","275367,10461325"
2004,"228593,27282355","219294,1299601","215849,77552295","219382,43198145","222540,64352295","215523,23333895","224957,72065795","221413,20584595","224904,04586895","228624,53074145","256109,14886395","277736,15851095"
2005,"260391,21777395","250246,60574895","251920,59908395","253900,42237895","251031,56897995","255187,41814495","264914,28448995","256979,66130895","267804,23980895","270961,12713895","310254,41891595","332168,57552095"
2006,"302665,27789595","292536,91404495","316589,44218495","316159,08512995","307495,65587895","311028,92791595","322774,56970545","314617,60076045","324592,79025995","327976,48790995","386260,77871445","413182,98891445"
2007,"369782,15235095","369783,15235095","381273,70811095","380693,58298495","377033,54929495","387718,65628495","396450,59064995","403057,73513995","406943,34090995","408128,53945995","480245,37534495","546261,50052495"
2008,"475890,43917995","479977,84127495","486429,87254995","488802,32295495","483437,76435495","481250,47438995","478869,71490995","481850,89740495","467628,27776995","480526,92821895","530057,91327145","575002,68404145"
2009,"522386,4700276","503833,7363006","486047,9463266","495357,9941011","489356,4927061","478606,6687861","494173,9528061","480037,0683931","470046,7218881","497408,6977981","540989,7832881","612994,5237291"
2010,"567447,8950081","555281,99323585","558667,81465085","543445,76904045","540800,12939065","517480,1526004","541572,82260605","517670,8556398","518602,8115298","544327,78176655","607182,62627405","665045,5334818"
2011,"618932,8934133","584544,1886143","606188,84582905","613573,54966775","592888,08931475","595885,665975","601242,34789425","581083,331646","603357,2121255","606138,03863625","669428,8707703","743086,1710743"
2012,"692470,0119288","649115,06646925","670672,60784975","660677,4772685","635442,13103725","640330,495537","642814,56","671497,43364525","664419,48384725","652428,81158825","772279,22807125","844773,96531425"
2013,"720342,8298905","694339,605626","730699,447025","703210,044258","713280,645823","693539,637733","693814,477543","700134,9980685","698084,26052725","713181,7649375","823961,86646775","921450,81419875"
2014,"814678,580966","782070,486927","780683,919809","780575,94724125","782447,7525361","768573,78659345","774257,8878517","781199,2179737","761804,2230999","803136,99129035","914373,33952","988496,917463"
2015,"893268,064341","854881,0500795","932892,4783355","855352,05025365","874280,65184815","815059,59656315","834660,10599815","836428,38898","821107,492595","868253,718825","971993,986555","1050685,82018"
2016,"948738,25695","901761,57421","932956,82625","929003,949085","904724,650815","898211,555675","921046,78084","888733,785635","917184,457555","934540,52376","1013846,0712","1108843,964275"
2017,"1000941,17673","997055,972957","998761,611482","1001905,376947","953881,329477","955639,975882","961366,203103","946248,071163","973696,809258","994625,740513","1080289,381703","1196612,336074"
2018,"1043469,166264","989455,530088","1057375,782293","1013436,707728","993857,410483","1000318,210038","994306,821358","1004769,109878","1006241,286338","1007168,802948","1124549,341293","1237849,215288"
2019,"1079477,775098","1050989,965648","1054813,864313","1049564,853133","1038850,81","1035101,201873","1046825,671618","1065907,105773","1079000,946098","1140372,796078","1180762,397948",
